Complexity,Loss,Equation
1,0.07621476,"x5"
3,0.049947534,"x5 - x6"
4,0.024405718,"exp(x5) - x3"
5,0.020099087,"2.9380352 - (x3 / x5)"
6,0.015387467,"exp(x5 - x6) - x3"
7,0.012647248,"exp(cos(x6) * x5) - x3"
8,0.009946604,"4.666439 - ((exp(x6) * x3) / x5)"
9,0.0071520586,"(cos(x6) + (cos(x3) / x5)) / 0.1589875"
10,0.0066100056,"((1.4972049 - x6) + (cos(x2) / x5)) * 6.8249702"
11,0.0058657285,"((cos(x3) / x5) + cos(x8 ^ 33.076504)) * 5.107915"
12,0.0044792416,"(sin(exp(x6)) + (cos(x3) / (x5 + 0.36965495))) * 8.632129"
14,0.0041145533,"(sin(exp(x6 ^ 2.313301)) + (cos(x3) / (x5 + 0.32526544))) * 7.739909"
15,0.0038937875,"(cos((x6 + 0.027208386) ^ 7.7401867) + ((cos(x3) + 0.2175614) / x5)) * 6.260337"
16,0.0038646208,"sin(cos((x6 + 0.027947608) ^ 7.74019) + ((cos(x3) + 0.22968437) / x5)) * 6.214138"
17,0.0037736883,"(cos((x8 * (x6 + 0.03230195)) ^ 6.6064544) + ((cos(x3) + 0.2150592) / x5)) * 5.8593473"
18,0.0037199915,"((((cos(x3) + 0.23248859) / x5) + cos((x6 + 0.035625044) ^ 6.5280466)) * 6.5280466) - sin(x2)"
19,0.0032825945,"sin(sin(((cos(x3) + 0.23009476) / x5) + cos((x6 + 0.027951771) ^ 7.7382445)) * 2.1692286) * 3.13722"
21,0.00284899,"((cos(x2 + x2) / (8.105412 * x4)) - -5.542558) * ((cos(x3) / (0.39872676 + x5)) + sin(exp(x6)))"
22,0.002613412,"(((cos(x3) + 0.23118265) / x5) + cos((x6 + 0.028035365) ^ 7.8161416)) * ((sin(x2) / (x4 * -8.165913)) + 6.477298)"
23,0.0026059102,"((sin(x2) / (x4 * -8.165913)) - -6.770733) * sin(((cos(x3) + 0.23118265) / x5) + cos((x6 + 0.028035365) ^ 7.8161416))"
24,0.0024414978,"(cos((x6 + 0.03606292) ^ 6.3246365) + ((cos(x3) + 0.27215165) / x5)) * (((x12 * cos(x2 * -1.7600809)) * 7.628004) - -7.2738156)"
25,0.0023013798,"sin(cos((x6 + 0.03600365) ^ 6.339918) + ((cos(x3) + 0.27123716) / x5)) * (((x12 * cos(x2 * -1.7995331)) * 7.574131) - -7.023092)"
26,0.0021074011,"(((cos(x3) + 0.23118265) / x5) + cos((x6 + 0.028035365) ^ 7.8161416)) * (((x12 * cos(x2 + x2)) / (x4 * 7.5949173)) - -5.6334586)"
27,0.0020281519,"(cos((x6 + 0.027194897) ^ 7.820702) + ((cos(x3) + 0.21743114) / x5)) * (((sin(x2) / (x4 * 7.473562)) * cos(x2 + x3)) - -6.791697)"
28,0.0019369324,"((sin(x2) * (cos(x2 + x3) / (x4 * 7.452187))) - -6.770733) * sin(((cos(x3) + 0.23118265) / x5) + cos((x6 + 0.028035365) ^ 7.8161416))"
29,0.0018405844,"x6 + ((((cos(x3) + 0.26637644) / x5) + cos((x6 ^ 8.738715) + 0.4258817)) * (((sin(x2) / (x4 * 7.422576)) * cos(x2 * -1.7055819)) - -6.87744))"
30,0.0017122965,"x6 + ((((sin(x2) / (x4 * 7.3836975)) * cos(x2 + x3)) - -6.777775) * sin(cos((x6 ^ 8.759072) + 0.4270668) + ((cos(x3) + 0.2617555) / x5)))"
31,0.0016376631,"x6 + ((((sin(x2) * cos(x3 + x2)) / (x4 * 7.3865786)) - -6.805857) * sin(sin(cos((x6 ^ 8.755797) + 0.43021083) + ((cos(x3) + 0.26313326) / x5))))"
32,0.0015380414,"(sin(cos(((x6 * x8) ^ 7.511549) + 0.4466408) + ((cos(x3) + 0.26418975) / x5)) * (((cos(x2 + x3) / (x4 * 7.81158)) * sin(x2)) - -6.4040327)) + x9"
33,0.0014721594,"x9 + (((sin(x2) * (cos(x2 + x3) / (x4 * 7.6070294))) - -6.559544) * sin(sin(cos(((x8 * x6) ^ 7.5468893) + 0.44518486) + ((cos(x3) + 0.26394287) / x5))))"
34,0.0014391767,"((((sin(x2) * cos(x2 + x3)) / (x4 * 7.3737736)) - -6.821303) * sin(sin(sin(cos(((x8 * x6) ^ 7.364598) + 0.4381456) + ((cos(x3) + 0.26324636) / x5))))) + x9"
