Complexity,Loss,Equation
1,0.10795257,"x10"
2,0.10345496,"sin(x2)"
3,0.033521045,"x5 - 0.98706865"
4,0.025695251,"x5 + cos(x3)"
5,0.020599332,"x5 + (-0.75372 - x6)"
6,0.01236649,"cos((0.927194 / x5) + x7)"
7,0.00744146,"cos(x6) + (cos(x3) / x5)"
8,0.00699415,"(cos(x2) / x5) + (1.5194417 - x6)"
9,0.0058793956,"(cos(x3) / x5) + cos(x8 ^ 34.686695)"
10,0.0048855487,"(cos(x2) / x5) + (1.4178485 - (x6 ^ 11.172844))"
11,0.004601162,"((cos(x3) / x5) + sin(x6 / 0.033425957)) - -1.448002"
12,0.004089598,"(1.4160043 - (x6 ^ 11.173798)) + (cos(x2 + -0.1947957) / x5)"
13,0.0039590904,"cos((x0 ^ 22.849016) + 0.23609906) + ((cos(x3) + 0.22495763) / x5)"
14,0.0038895088,"sin(((cos(x3) + 0.24042308) / x5) + cos((x0 ^ 24.701292) + 0.24709314))"
15,0.0033211235,"sin(((cos(x3) / (x5 + 0.38807535)) + sin(exp(x6))) / (x2 * 0.18409018))"
16,0.003286112,"sin(sin(((cos(x3) / (x5 + 0.38817912)) + sin(exp(x6))) / (x2 * 0.1842426)))"
17,0.002994164,"sin((sin(exp(x6 * x8)) + (cos(x3) / (x5 + 0.38513985))) / (x2 * 0.18333939))"
18,0.0029290814,"sin(((cos(x3) / (x5 + 0.46541095)) + sin(sin(exp(x6)))) / ((x2 ^ 0.39636332) - 0.995212))"
19,0.0022559674,"sin(((cos(x3) / (x5 + 0.2849726)) + sin(exp(x6 ^ 2.8741379))) / ((1.2247272 ^ x2) - 1.1471016))"
20,0.0022346647,"sin(sin(((cos(x3) / (x5 + 0.28165534)) + sin(exp(x6 ^ 2.8740988))) / ((1.2227962 ^ x2) - 1.1422936)))"
21,0.002156955,"sin((sin(exp((x6 * x8) ^ 2.1099637)) + (cos(x3) / (x5 + 0.28312215))) / ((1.2274846 ^ x2) - 1.1541222))"
22,0.0021347692,"sin(sin(((cos(x3) / (x5 + 0.2829731)) + sin(exp((x8 * x6) ^ 2.14091))) / ((1.224173 ^ x2) - 1.1458575)))"
23,0.0019936375,"sin(((cos(x3) / (x5 + 0.21904446)) + sin(exp((x6 + 0.026567416) ^ 2.576562))) / ((1.2248211 ^ x2) - 1.1672096)) - -0.21269085"
24,0.0019380026,"sin(sin((sin(exp((x6 + 0.025709268) ^ 2.5726426)) + (cos(x3) / (x5 + 0.21915112))) / ((1.2245563 ^ x2) - 1.1657982))) - -0.19916387"
25,0.001600262,"(sin(((cos(x3) / (x5 + 0.24829262)) + sin(exp((x8 * x6) + 0.21010518))) / ((1.2393421 ^ x2) - 1.1488023)) / 0.6386938) + x9"
26,0.0015842908,"sin((sin((sin(exp((x8 * x6) + 0.2094707)) + (cos(x3) / (x5 + 0.24825452))) / ((1.2389755 ^ x2) - 1.1479492)) / 0.6376453) + x9)"
